OperatorId,Title,HighestDegree,Employer,UserYearId
1,,Doctorate,,1
2,Analog Circuit Design manager,PhD,,2
3,Associate Professor,,,3
4,Media Manager II,,,4
5,Assistant Professor,Masters,"Jones, Wolf and Ferry",5
6,,,,6
7,,Bachelors,,7
8,,,"Bergstrom, Schimmel and Klein",8
9,Compensation Analyst,,,9
10,Junior Executive,,,10
11,,,Barrows Inc,11
12,Actuary,,,12
13,Administrative Assistant I,,,13
14,,,,14
15,Office Assistant IV,,,15
16,,PhD,Brown-Morar,16
17,Civil Engineer,,,17
18,Biostatistician II,,,18
19,,,,19
20,Budget/Accounting Analyst IV,,Raynor and Sons,20
21,Tax Accountant,Doctorate,,21
22,Accounting Assistant II,,Kozey-Schiller,22
23,,Doctorate,,23
24,Web Designer III,,,24
25,Chemical Engineer,,,25
26,,Masters,,26
27,Registered Nurse,,,27
28,,Masters,Beer and Sons,28
29,Computer Systems Analyst IV,PhD,,29
30,Compensation Analyst,,,30
31,Senior Editor,PhD,,31
32,,Masters,,32
33,,Masters,,33
34,Web Designer IV,,,34
35,Senior Financial Analyst,Masters,,35
36,,,O'Kon-Stoltenberg,36
37,Help Desk Operator,,,37
38,,Doctorate,,38
39,Office Assistant II,PhD,Heller-Hermann,39
40,Occupational Therapist,,,40
41,,,,41
42,,Masters,,42
43,Budget/Accounting Analyst IV,PhD,,43
44,Financial Analyst,,,44
45,,,,45
46,,Doctorate,"Botsford, Smith and Pacocha",46
47,Payment Adjustment Coordinator,,,47
48,Executive Secretary,,,48
49,,,,49
50,Business Systems Development Analyst,Doctorate,,50
51,,Doctorate,,51
52,,Bachelors,,52
53,Chief Design Engineer,,"Block, Kris and Herzog",53
54,,,,54
55,Graphic Designer,,,55
56,Sales Associate,,,56
57,,,,57
58,Junior Executive,,Goodwin-Ferry,58
59,Electrical Engineer,,"Kessler, Koss and Thompson",59
60,Operator,Bachelors,O'Connell-Hirthe,60
61,Operator,PhD,,61
62,Safety Technician IV,Bachelors,,62
63,Engineer III,,,63
64,,,,64
65,,Doctorate,,65
66,,PhD,,66
67,Compensation Analyst,PhD,,67
68,Computer Systems Analyst II,,,68
69,,Doctorate,,69
70,Payment Adjustment Coordinator,Masters,Borer and Sons,70
71,Associate Professor,,,71
72,,,,72
73,Accountant IV,PhD,,73
74,,,,74
75,Systems Administrator II,Doctorate,"Hilll, Lowe and Kemmer",75
76,Physical Therapy Assistant,Masters,,76
77,,,Mueller Inc,77
78,Actuary,,,78
79,,,,79
80,,,,80
81,VP Quality Control,Doctorate,,81
82,,,,82
83,Sales Representative,,,83
84,,,"O'Keefe, Greenholt and Mertz",84
85,,,,85
86,Occupational Therapist,,DuBuque-Gleason,86
87,,,"Gusikowski, Nader and Howell",87
88,,PhD,,88
89,,Masters,,89
90,Chemical Engineer,,Sawayn Group,90
91,Staff Scientist,Masters,Turner Group,91
92,Geologist IV,,,92
93,Editor,,,93
94,Product Engineer,,,94
95,Information Systems Manager,,,95
96,,,Dickens Inc,96
97,,Masters,,97
98,Sales Representative,,,98
99,Senior Editor,Doctorate,,99
100,,,Collins-Ortiz,100
101,,,Strosin LLC,101
