ID,ID_STATE,CITY,COUNTY,LATITUDE,LONGITUDE
1,2,Adak,Aleutians West,56,-161
2,2,Akiachak,Bethel,61,-161
3,2,Akiak,Bethel,61,-161
4,2,Akutan,Aleutians East,54,-166
5,2,Alakanuk,Wade Hampton,63,-165
6,2,Aleknagik,Dillingham,59,-159
7,2,Allakaket,Yukon Koyukuk,67,-153
8,2,Ambler,Northwest Arctic,67,-156
9,2,Anaktuvuk Pass,North Slope,68,-152
10,2,Anchor Point,Kenai Peninsula,60,-152
11,2,Anchorage,Anchorage,61,-150
12,2,Anderson,Denali,64,-149
13,2,Angoon,Skagway Hoonah Angoon,58,-134
14,2,Aniak,Bethel,62,-158
15,2,Anvik,Yukon Koyukuk,63,-160
16,2,Arctic Village,Yukon Koyukuk,68,-145
17,2,Atka,Aleutians West,52,-174
18,2,Atqasuk,North Slope,71,-157
19,2,Auke Bay,Juneau,58,-135
20,2,Barrow,North Slope,71,-157
21,2,Beaver,Yukon Koyukuk,66,-147
22,2,Bethel,Bethel,61,-162
23,2,Bettles Field,Yukon Koyukuk,67,-151
24,2,Big Lake,Matanuska Susitna,62,-149
25,2,Brevig Mission,Nome,65,-166
26,2,Buckland,Northwest Arctic,66,-161
27,2,Cantwell,Denali,63,-149
28,2,Central,Yukon Koyukuk,65,-145
29,2,Chalkyitsik,Yukon Koyukuk,67,-144
30,2,Chefornak,Bethel,60,-164
31,2,Chevak,Wade Hampton,62,-165
32,2,Chicken,Southeast Fairbanks,64,-142
33,2,Chignik,Lake And Peninsula,56,-158
34,2,Chignik Lagoon,Lake And Peninsula,56,-159
35,2,Chignik Lake,Lake And Peninsula,56,-159
36,2,Chitina,Valdez Cordova,62,-144
37,2,Chugiak,Anchorage,61,-149
38,2,Circle,Yukon Koyukuk,66,-144
39,2,Clam Gulch,Kenai Peninsula,60,-151
40,2,Clarks Point,Dillingham,59,-158
41,2,Clear,Denali,64,-149
42,2,Coffman Cove,Prince Wales Ketchikan,55,-132
43,2,Cold Bay,Aleutians East,56,-162
44,2,Cooper Landing,Kenai Peninsula,60,-150
45,2,Copper Center,Valdez Cordova,62,-145
46,2,Cordova,Valdez Cordova,60,-148
47,2,Craig,Prince Wales Ketchikan,55,-133
48,2,Crooked Creek,Bethel,62,-158
49,2,Deering,Northwest Arctic,66,-163
50,2,Delta Junction,Southeast Fairbanks,64,-146
51,2,Denali National Park,Denali,64,-150
52,2,Dillingham,Dillingham,59,-159
53,2,Douglas,Juneau,58,-134
54,2,Dutch Harbor,Aleutians West,53,-168
55,2,Eagle,Southeast Fairbanks,65,-141
56,2,Eagle River,Anchorage,61,-150
57,2,Eek,Bethel,60,-162
