ID_state,county
16,Union
37,Latimer
33,Steuben
5,Trinity
22,Berkshire
22,Norfolk
28,Douglas
33,Genesee
45,Madison
16,Washington
27,Granite
46,Sevier
33,Oswego
40,Corozal
40,Santa Isabel
25,Adams
48,Westmoreland
18,Bath
35,Cavalier
26,Vernon
48,Culpeper
52,Laramie
10,Taylor
50,Clay
50,Randolph
25,Sunflower
15,Warren
36,Monroe
28,Garden
51,Jefferson
34,Guilford
43,Stanley
51,Juneau
35,Lamoure
35,Mercer
48,Dickenson
34,Caswell
32,Colfax
25,Wayne
14,Montgomery
47,Rutland
48,Pulaski
10,Brevard
3,La Paz
11,Long
4,Washington
48,Rockbridge
51,Calumet
28,Sioux
34,Watauga
19,Saint Mary
36,Richland
34,Cleveland
43,Brookings
27,Daniels
28,Red Willow
45,Navarro
11,Baker
25,Tippah
18,Whitley
24,Murray
16,Sioux
43,Grant
44,Loudon
48,Covington City
29,Lincoln
30,Coos
51,Jackson
18,Simpson
44,Wayne
42,Lexington
40,Arecibo
24,Chisago
28,Box Butte
43,Kingsbury
25,Lowndes
36,Erie
35,Stutsman
11,Atkinson
48,Shenandoah
52,Carbon
17,Lincoln
18,Green
5,Butte
4,White
24,Saint Louis
26,Howard
26,Texas
14,Champaign
37,Pushmataha
44,Humphreys
10,Saint Johns
19,Iberville
25,Issaquena
17,Saline
26,Cedar
48,Tazewell
34,Stokes
36,Defiance
24,Dakota
35,Towner
43,Dewey
23,Grand Traverse
51,Milwaukee
6,Adams
18,Kenton
2,Southeast Fairbanks
11,
39,Luzerne
39,Somerset
36,Delaware
37,Tillman
48,Salem
39,Wayne
44,Jackson
24,Wright
34,Carteret
1,Coosa
23,Kalamazoo
15,Fulton
45,Galveston
45,Howard
26,Lawrence
43,Butte
50,Ohio
6,Arapahoe
33,Dutchess
40,Anasco
40,Cabo Rojo
45,Hale
21,Montgomery
37,Greer
52,Campbell
18,Owsley
35,Sioux
43,Sully
48,Wise
4,Poinsett
29,White Pine
50,Grant
14,Mclean
3,Mohave
15,Henry
50,Fayette
26,Adair
27,Musselshell
4,Pope
49,Kitsap
43,Roberts
8,Sussex
45,Guadalupe
21,Queen Annes
42,Hampton
7,Tolland
11,Paulding
45,Rockwall
45,King
26,Cooper
5,Santa Barbara
48,Williamsburg City
26,Lafayette
28,Gosper
47,Chittenden
14,Woodford
34,Wilkes
26,Mcdonald
2,Wade Hampton
24,Lake Of The Woods
17,Hodgeman
40,Aguada
44,Giles
22,Hampshire
46,Duchesne
18,Spencer
23,Montmorency
11,Carroll
15,Lake
48,Greene
48,Richmond
40,Guaynabo
52,Uinta
44,Sumner
45,Jim Hogg
36,Greene
17,Smith
26,Marion
45,Calhoun
51,Wood
16,Allamakee
10,Lee
18,Henderson
19,Claiborne
36,Harrison
14,Pike
33,Essex
26,Pike
44,Hancock
25,Simpson
38,Marion
42,Dillon
42,Lancaster
6,Jefferson
45,Tom Green
45,Lamb
26,Ray
36,Morgan
18,Jefferson
29,Humboldt
48,King And Queen
10,Liberty
1,Marengo
48,Spotsylvania
23,Arenac
11,Charlton
20,Hancock
25,Carroll
34,Mcdowell
32,Otero
5,Kings
19,Saint James
45,Schleicher
10,Okeechobee
51,Fond Du Lac
39,Lycoming
25,Jackson
27,Dawson
24,Lyon
25,Yazoo
27,Wibaux
48,Floyd
26,Holt
16,Keokuk
34,Catawba
16,Osceola
16,Lucas
39,Cambria
37,Kiowa
18,Butler
20,Somerset
51,Waukesha
14,Menard
17,Miami
24,Freeborn
18,Muhlenberg
10,Martin
11,Screven
34,Pitt
4,Cross
46,Juab
25,Webster
26,Andrew
25,Hancock
45,Terry
18,Boone
36,Clinton
39,Elk
4,Scott
14,Mcdonough
24,Yellow Medicine
34,Anson
37,Woodward
49,Whatcom
37,Coal
51,Racine
13,Jefferson
48,Bland
19,Saint Charles
43,Potter
45,Marion
48,Fairfax
25,Lamar
40,Guanica
26,Howell
5,Plumas
36,Trumbull
28,Phelps
